ID,School,SFR,LT20,GT50,GRAD,FRR,GIVE,FUNDING
69,University of Nevada—Reno,27,0.33,0.16,0.5,0.78,0.09,PUBLIC
70,University of New Mexico,22,0.4,0.14,0.44,0.78,0.07,PUBLIC
71,University of North Carolina—Chapel Hill,14,0.37,0.13,0.9,0.97,0.22,PUBLIC
72,University of North Texas,23,0.29,0.2,0.48,0.76,0.05,PUBLIC
73,University of Notre Dame,12,0.55,0.1,0.96,0.98,0.41,PRIVATE
74,Ohio State University—Columbus,19,0.32,0.2,0.78,0.93,0.15,PUBLIC
75,Ohio University,19,0.42,0.11,0.65,0.8,0.08,PUBLIC
76,Oklahoma State University,19,0.39,0.12,0.59,0.79,0.15,PUBLIC
77,Oregon State University,25,0.36,0.2,0.6,0.82,0.12,PUBLIC
78,University of Mississippi,18,0.46,0.13,0.59,0.8,0.13,PUBLIC
79,University of Oklahoma,17,0.41,0.11,0.64,0.83,0.19,PUBLIC
80,University of Oregon,20,0.37,0.17,0.68,0.84,0.13,PUBLIC
81,Pennsylvania State University—University Park,17,0.39,0.15,0.85,0.93,0.21,PUBLIC
82,Purdue University—West Lafayette,14,0.37,0.17,0.69,0.87,0.19,PUBLIC
83,Rice University,6,0.69,0.08,0.92,0.97,0.32,PRIVATE
84,"Rutgers, the State University of New Jersey—New Brunswick",15,0.41,0.2,0.77,0.91,0.1,PUBLIC
85,San Diego State University,21,0.22,0.24,0.66,0.83,0.02,PUBLIC
86,San Jose State University,25,0.25,0.09,0.44,0.82,0.02,PUBLIC
87,Southern Methodist University,12,0.58,0.08,0.74,0.89,0.19,PRIVATE
88,Stanford University,6,0.7,0.13,0.95,0.98,0.34,PRIVATE
89,University of Pittsburgh,14,0.42,0.18,0.78,0.92,0.13,PUBLIC
90,University of South Alabama,22,0.42,0.08,0.37,0.68,0.02,PUBLIC
91,University of South Carolina,19,0.38,0.11,0.68,0.87,0.17,PUBLIC
92,University of South Florida,28,0.23,0.16,0.51,0.86,0.15,PUBLIC
93,University of Southern Mississippi,18,0.43,0.11,0.47,0.74,0.13,PUBLIC
94,Syracuse University,16,0.61,0.09,0.82,0.91,0.17,PRIVATE
95,Temple University,19,0.33,0.08,0.65,0.87,0.08,PUBLIC
96,Texas A&M University—College Station,19,0.21,0.23,0.79,0.92,0.21,PUBLIC
97,Texas Christian University,13,0.4,0.08,0.74,0.86,0.18,PRIVATE
98,Texas State University—San Marcos,19,0.19,0.19,0.55,0.78,0.05,PUBLIC
99,Texas Tech University,23,0.22,0.24,0.63,0.82,0.15,PUBLIC
100,Troy University,20,0.58,0.04,0.4,0.72,0.09,PUBLIC
101,Tulane University,11,0.67,0.06,0.74,0.89,0.19,PRIVATE
102,University of Tennessee,15,0.31,0.08,0.6,0.85,0.11,PUBLIC
103,University of Texas—Austin,18,0.34,0.25,0.81,0.92,0.14,PUBLIC
104,University of Toledo,19,0.34,0.31,0.45,0.68,0.05,PUBLIC
105,University of Alabama—Birmingham,17,0.39,0.15,0.41,0.79,0.13,PUBLIC
106,University of California—Los Angeles,16,0.52,0.22,0.9,0.97,0.13,PUBLIC
107,University of Central Florida,31,0.28,0.23,0.63,0.86,0.16,PUBLIC
108,University of Nevada—Las Vegas,22,0.25,0.18,0.41,0.76,0.05,PUBLIC
109,University of Southern California,9,0.63,0.11,0.89,0.97,0.39,PRIVATE
110,University of Texas—San Antonio,23,0.24,0.23,0.26,0.58,0.05,PUBLIC
111,University of Tulsa,11,0.7,0.01,0.65,0.88,0.22,PUBLIC
112,University of Utah,15,0.42,0.17,0.57,0.83,0.11,PUBLIC
113,Utah State University,19,0.32,0.18,0.56,0.74,0.08,PUBLIC
114,University of Virginia,16,0.52,0.16,0.93,0.97,0.22,PUBLIC
115,University of Washington,12,0.33,0.21,0.8,0.93,0.15,PUBLIC
116,University of Wyoming,14,0.42,0.1,0.53,0.73,0.1,PUBLIC
117,Vanderbilt University,8,0.64,0.09,0.91,0.97,0.23,PRIVATE
118,Virginia Tech,17,0.25,0.21,0.8,0.92,0.15,PUBLIC
119,Wake Forest University,11,0.54,0.03,0.89,0.94,0.29,PRIVATE
120,Washington State University,15,0.37,0.22,0.69,0.83,0.13,PUBLIC
121,West Virginia University,23,0.32,0.19,0.59,0.8,0.12,PUBLIC
122,Western Kentucky University,19,0.43,0.06,0.49,0.73,0.13,PUBLIC
123,Western Michigan University,19,0.36,0.11,0.52,0.74,0.1,PUBLIC
